caso,componente,material,norma,classe,estatuto,propriedade,unidade,min,max,referencia,notas,tipico,estado
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Espessura típica de strut,µm,74.0,81.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,77.5,A verificar
Stent vascular,Estrutura do stent,Pt-Cr,-,Metal,Clínico,Tempo de reabsorção,meses,,,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Permanente: só entra no cenário B como 'não reabsorve',,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Módulo de Young,GPa,40.0,75.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Outra classe de dispositivo: 'tensão de cedência' = patamar superelástico,57.5,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Tensão de cedência,MPa,350.0,600.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,475.0,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Resistência à tração,MPa,1070.0,1300.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,1185.0,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Alongamento na rotura,%,10.0,15.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,12.5,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Densidade,g/cm³,6.45,6.45,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,6.45,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Espessura típica de strut,µm,100.0,150.0,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),,125.0,A verificar
Stent vascular,Estrutura do stent,Nitinol (autoexpansível),ASTM F2063,Metal (superelástico),Excluído (autoexpansível: só discussão),Tempo de reabsorção,meses,,,Hanawa T. J Artif Organs 2009;12:73-79 (metais para stents),Permanente: só entra no cenário B como 'não reabsorve',,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Módulo de Young,GPa,44.0,45.0,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),Reabsorção ~12 meses (BIOSOLVE-II: Haude 2016),44.5,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Tensão de cedência,MPa,150.0,195.0,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),,172.5,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Resistência à tração,MPa,220.0,280.0,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),,250.0,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Alongamento na rotura,%,10.0,17.0,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),,13.5,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Densidade,g/cm³,1.84,1.84,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),,1.84,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Espessura típica de strut,µm,120.0,150.0,Witte F. Acta Biomater 2010;6:1680-1692 (Mg),,135.0,A verificar
Stent vascular,Estrutura do stent,Liga de Mg WE43 (bioabsorvível),-,Metal biodegradável,Clínico (Magmaris),Tempo de reabsorção,meses,9.0,12.0,"Haude M et al. Lancet 2016;387:31-39 (BIOSOLVE-II, Magmaris)",,10.5,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Módulo de Young,GPa,3.1,3.6,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),Trombose tardia do scaffold; struts ~157 µm,3.35,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Tensão de cedência,MPa,50.0,70.0,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,60.0,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Resistência à tração,MPa,60.0,70.0,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,65.0,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Alongamento na rotura,%,2.0,6.0,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,4.0,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Densidade,g/cm³,1.25,1.29,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,1.27,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Espessura típica de strut,µm,150.0,160.0,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,155.0,A verificar
Stent vascular,Estrutura do stent,PLLA (bioabsorvível),-,Polímero biodegradável,"Descontinuado (Absorb, 2017)",Tempo de reabsorção,meses,36.0,48.0,Ensaios ABSORB / comunicação FDA 2017 (Absorb BVS),,42.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Resistência à compressão (scaffold),MPa,2.0,10.0,"Woodruff MA, Hutmacher DW. Prog Polym Sci 2010;35:1217-1256 (PCL)",Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,6.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Módulo de compressão (scaffold),MPa,20.0,80.0,"Woodruff MA, Hutmacher DW. Prog Polym Sci 2010;35:1217-1256 (PCL)",Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,50.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Porosidade,%,50.0,80.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,65.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Tempo de degradação,meses,24.0,36.0,"Woodruff MA, Hutmacher DW. Prog Polym Sci 2010;35:1217-1256 (PCL)",,30.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Bioatividade (ordinal 1-5),-,1.0,1.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,1.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PCL,-,Polímero,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Resistência à compressão (scaffold),MPa,1.0,10.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,5.5,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Módulo de compressão (scaffold),MPa,50.0,300.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,175.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Porosidade,%,60.0,90.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,75.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Tempo de degradação,meses,18.0,36.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,27.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Bioatividade (ordinal 1-5),-,1.0,1.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,1.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLLA,-,Polímero,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,4.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Resistência à compressão (scaffold),MPa,0.5,3.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,1.75,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Módulo de compressão (scaffold),MPa,10.0,60.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,35.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Porosidade,%,70.0,90.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,80.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Tempo de degradação,meses,1.0,3.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,2.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Bioatividade (ordinal 1-5),-,1.0,1.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,1.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,PLGA 50:50,-,Polímero,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,3.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Resistência à compressão (scaffold),MPa,2.0,20.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,11.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Módulo de compressão (scaffold),MPa,500.0,3000.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,1750.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Porosidade,%,50.0,80.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,65.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Tempo de degradação,meses,24.0,60.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,42.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Bioatividade (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,4.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Hidroxiapatite (HA) porosa,-,Cerâmico,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Resistência à compressão (scaffold),MPa,1.0,15.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,8.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Módulo de compressão (scaffold),MPa,100.0,1000.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,550.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Porosidade,%,50.0,80.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,65.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Tempo de degradação,meses,6.0,18.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,12.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Bioatividade (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,4.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,β-TCP poroso,-,Cerâmico,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Resistência à compressão (scaffold),MPa,0.3,2.0,Hench LL. J Am Ceram Soc 1991;74:1487-1510 (vidros bioativos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,1.15,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Módulo de compressão (scaffold),MPa,50.0,500.0,Hench LL. J Am Ceram Soc 1991;74:1487-1510 (vidros bioativos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,275.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Porosidade,%,70.0,90.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,80.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Tempo de degradação,meses,6.0,12.0,Hench LL. J Am Ceram Soc 1991;74:1487-1510 (vidros bioativos),,9.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Bioatividade (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Vidro bioativo 45S5 poroso,-,Vidro,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Resistência à compressão (scaffold),MPa,3.0,12.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,7.5,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Módulo de compressão (scaffold),MPa,30.0,150.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,90.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Porosidade,%,50.0,70.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,60.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Tempo de degradação,meses,12.0,24.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,18.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Bioatividade (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,3.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Compósito PCL/β-TCP (impressão 3D),-,Compósito,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Resistência à compressão (scaffold),MPa,0.1,1.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,0.55,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Módulo de compressão (scaffold),MPa,1.0,10.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),Muito dependente da geometria/porosidade: registar a porosidade do estudo de onde vem o valor,5.5,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Porosidade,%,80.0,95.0,"Karageorgiou V, Kaplan D. Biomaterials 2005;26:5474-5491 (porosidade)",,87.5,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Tempo de degradação,meses,3.0,12.0,Rezwan K et al. Biomaterials 2006;27:3413-3431 (scaffolds ósseos),,7.5,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Bioatividade (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,3.0,A verificar
Scaffold (regeneração óssea),Scaffold poroso,Quitosano/HA (liofilizado),-,Compósito natural,Clínico/investigação,Imprimibilidade 3D (ordinal 1-5),-,2.0,2.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,2.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Compatibilidade com RM (ordinal 1-5),-,2.0,2.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Artefacto marcado em RM,2.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Compatibilidade com RM (ordinal 1-5),-,3.0,3.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Artefacto moderado,3.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Compatibilidade com RM (ordinal 1-5),-,4.0,4.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Baixa suscetibilidade magnética; MR-condicional,4.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Compatibilidade com RM (ordinal 1-5),-,4.0,4.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Idem Ti-6Al-4V,4.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Compatibilidade com RM (ordinal 1-5),-,4.0,4.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Liga de Ti; comportamento esperado semelhante: confirmar,4.0,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Compatibilidade com RM (ordinal 1-5),-,4.0,4.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Sem dados clínicos de RM: assumido por analogia,4.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,1.0,1.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,,1.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,3.0,3.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,,3.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,3.0,3.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,,3.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,2.0,2.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,,2.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,4.0,4.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,Nb e Zr encarecem,4.0,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,"Custo relativo de material e fabrico (1-5, 5 = mais caro)",-,5.0,5.0,Índice relativo de material e fabrico (rubrica no LEIA-ME); não representa preço hospitalar,Ta e Nb; sem produção industrial,5.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Fabricabilidade (ordinal 1-5),-,5.0,5.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,Forjamento e maquinagem maduros,5.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Fabricabilidade (ordinal 1-5),-,4.0,4.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,Difícil de maquinar; fundição/forjamento/AM possíveis,4.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Fabricabilidade (ordinal 1-5),-,5.0,5.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,"Forjamento, maquinagem e fabrico aditivo (SLM/EBM) maduros",5.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Fabricabilidade (ordinal 1-5),-,4.0,4.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,,4.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Fabricabilidade (ordinal 1-5),-,3.0,3.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,Cadeia de fornecimento limitada,3.0,A verificar
Prótese da anca,Haste femoral,Ti-35Nb-7Zr-5Ta (TNZT),-,Metal,Investigação,Fabricabilidade (ordinal 1-5),-,2.0,2.0,Geetha 2009; Navarro 2008; literatura de fabrico aditivo: confirmar,Processamento em escala laboratorial,2.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Compatibilidade galvânica cabeça-cone (ordinal 1-5),-,3.0,3.0,Literatura sobre corrosão na junção cabeça-cone (trunnionosis): confirmar,Cabeça CoCr em cone de Ti: corrosão por fretting documentada,3.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Compatibilidade galvânica cabeça-cone (ordinal 1-5),-,3.0,3.0,Literatura sobre corrosão na junção cabeça-cone (trunnionosis): confirmar,Idem,3.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Compatibilidade galvânica cabeça-cone (ordinal 1-5),-,5.0,5.0,Literatura sobre corrosão na junção cabeça-cone (trunnionosis): confirmar,Cabeça cerâmica elimina o par galvânico,5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / ZTA (CoC),-,Par tribológico,Clínico,Compatibilidade galvânica cabeça-cone (ordinal 1-5),-,5.0,5.0,Literatura sobre corrosão na junção cabeça-cone (trunnionosis): confirmar,Idem,5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / CoCrMo (MoM),-,Par tribológico,Clínico (abandonado),Compatibilidade galvânica cabeça-cone (ordinal 1-5),-,2.0,2.0,Literatura sobre corrosão na junção cabeça-cone (trunnionosis): confirmar,Fretting no cone + desgaste metálico na articulação,2.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Compatibilidade com esterilização (ordinal 1-5),-,2.0,2.0,ISO 11137 (radiação) / ISO 11135 (EtO); Kurtz 2016 para UHMWPE: confirmar,PE convencional esterilizado por gama ao ar → oxidação (histórico),2.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Compatibilidade com esterilização (ordinal 1-5),-,4.0,4.0,ISO 11137 (radiação) / ISO 11135 (EtO); Kurtz 2016 para UHMWPE: confirmar,HXLPE refundido/recozido ou com vitamina E,4.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Compatibilidade com esterilização (ordinal 1-5),-,4.0,4.0,ISO 11137 (radiação) / ISO 11135 (EtO); Kurtz 2016 para UHMWPE: confirmar,Idem,4.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / ZTA (CoC),-,Par tribológico,Clínico,Compatibilidade com esterilização (ordinal 1-5),-,5.0,5.0,ISO 11137 (radiação) / ISO 11135 (EtO); Kurtz 2016 para UHMWPE: confirmar,Cerâmicos e metais: sem limitações,5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / CoCrMo (MoM),-,Par tribológico,Clínico (abandonado),Compatibilidade com esterilização (ordinal 1-5),-,5.0,5.0,ISO 11137 (radiação) / ISO 11135 (EtO); Kurtz 2016 para UHMWPE: confirmar,Idem,5.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / UHMWPE convencional (MoP),-,Par tribológico,Clínico,Compatibilidade com RM (ordinal 1-5),-,3.0,3.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,Cabeça CoCr (a haste também conta: ver nota metodológica),3.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),CoCrMo / HXLPE (MoXLPE),-,Par tribológico,Clínico,Compatibilidade com RM (ordinal 1-5),-,3.0,3.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,,3.0,A verificar
Prótese da anca,Par articular (cabeça/acetábulo),ZTA / HXLPE (CoXLPE),-,Par tribológico,Clínico,Compatibilidade com RM (ordinal 1-5),-,5.0,5.0,Shellock FG / MRIsafety.com; ASTM F2182 (aquecimento) e F2119 (artefactos): confirmar,,5.0,A verificar
